CourseTitle,Level,Time(Hours),Category,NumberOfLessons,Description,Curriculum
genai applied quantitative finance control implementation,Intermediate,0.006263048016701461,Generative AI ,0.005181347150259068,course explores application generative ai quantitative finance focusing building sustainable trading algorithms keyword extraction sentiment analysis timeseries forecasting learn predict commodity prices gold integrating data financial news sources leveraging sentiment analysis optimizing models robust trading signals,introduction overview problem definition commodity price prediction architecture handson
navigating llm tradeoffs techniques speed cost scale accuracy,Beginner,0.006263048016701461,Generative AI ,0.007772020725388601,course provides concise guide optimizing large language models llms navigating tradeoffs speed cost scale accuracy learn practical techniques like lora model quantization parameterefficient finetuning improve performance reducing costs youll explore various deployment strategies understand evaluate llms using industrystandard benchmarks making course ideal anyone seeking efficient scalable ai solutions,introduction resources technique increase accuracy training speed cost optimization inference speed cost optimizationscale
creating problemsolving agents using genai action composition,Beginner,0.006263048016701461,Generative AI ,0.007772020725388601,introductory course provides concise overview agentic ai systems covering evolution current state practical applications explore key topics including history agentic ai systems role agents today multiagent systems practical solutions implementing perfect seeking foundational understanding intelligent agentic ai systems action,introduction overview count number agents brief history agentic systems agents today multiagent systems today practical solutions
improving real world rag systems key challenges practical solutions,Beginner,0.006263048016701461,Generative AI ,0.023316062176165803,course explores key challenges building realworld retrievalaugmented generation rag systems provides practical solutions topics include improving data retrieval dealing hallucinations context selection optimizing system performance using advanced prompting retrieval strategies evaluation techniques handson demos gain insights better chunking embedding models agentic rag systems robust realworld applications,introduction rag systems resources rag system challenges practical solutions handson solution missing content rag key challenges practical solutions handson solution missed top ranked context extracted incorrect specificity handson solution missed wrong format problem solution handson solution wrong format incomplete problem solution hyde practical solutions recent research papers
framework choose right llm business,Beginner,0.006263048016701461,Generative AI ,0.007772020725388601,course guide process selecting suitable large language model llm various business needs examining factors accuracy cost scalability integration understand different llms perform specific scenarios customer support healthcare strategy development course emphasizes practical decisionmaking realworld case studies helping businesses navigate rapidly evolving llm landscape effectively,introduction llm world understand business framework choose right llm case studies conclusion
building smarter llms mamba state space model,Advanced,0.014613778705636741,Generative AI ,0.028497409326424875,unlock power state space models ssm like mamba comprehensive course designed ai professionals data scientists nlp enthusiasts master art integrating ssm deep learning unravel complexities models like mamba elevate understanding generative ais newest innovative models course designed equip skills needed understand cuttingedge ai models work making proficient latest ai techniques architectures,course overview alternative transformers understanding state space models mamba selective state space model
generative ai way life free course,Beginner,0.04801670146137787,Generative AI ,0.07253886010362695,course transformative journey tailored beginners delves aipowered text image generation using leading tools like chatgpt microsoft copilot dalle learn practical applications across industries ethical considerations best practices whether youre content creator business innovator ai enthusiast gain expertise harness generative ais full potential drive innovation field,introduction generative ai text generation using generative ai image generation using generative ai
building llm applications using prompt engineering free course,Beginner,0.01544885177453027,Generative AI ,0.036269430051813475,free course offers comprehensive guide building llm applications mastering prompt engineering implementing best practices developing chatbots using enterprise data using advanced techniques like fewshot oneshot prompting,build different llm applications getting started prompt engineering understanding different prompt engineering techniques
building first computer vision model free course,Beginner,0.0020876826722338203,Deep Learning ,0.010362694300518137,course help gain deep understanding computer vision build advanced cv models using pytorch framework carefully curated list resources exercises course guide becoming computer vision expert master techniques build convolutional neural networks classify images,pixel perfect decoding images understanding cnn convolutional layer hands image processing techniques understanding cnn striding pooling understanding cnn pooling layer understanding alexnet building cnn model quiz
bagging boosting ml algorithms free course,Intermediate,0.006263048016701461,Machine Learning,0.03367875647668394,course provide handson understanding bagging boosting techniques machine learning end course proficient implementing tuning ensemble methods enhance model performance youll learn apply algorithms like random forest adaboost gradient boosting realworld dataset equipping skills improve predictive accuracy robustness projects,bagging boosting
midjourney inspiration implementation free course,Intermediate,0.0020876826722338203,Generative AI ,0.005181347150259068,course provide practical understanding midjourney tools end course able utilize midjourney effectively explore alternative tools creative projects youll learn draw inspiration use midjourneys features understand applications engaging lessons,midjourney storm story midjourney inspiration midjourney use midjourney alternatives quiz
